#CYaaS and Get Compliance-Ready with Office 365;https://medius.studios.ms/video/asset/HIGHMP4/IG19-THR3150;Azure Identity, Azure, Azure Integration, Azure Blockchain, Azure Developer Tools, Azure Compute, Azure AI + Machine Learning, Azure Media, Azure Analytics, Azure Databases, Azure DevOps , Azure Internet of Things, Azure Management and Governance, Azure Containers, Azure Mixed Reality, Azure Mobile, Azure Microsoft Azure Stack, Azure Storage, Azure Security, Azure Web, Azure Migration, Azure Networking;https://myignite.techcommunity.microsoft.com/sessions/85236;Partner Led Session;https://medius.studios.ms/video/asset/PPT/IG19-THR3150
2019 Microsoft 365 App Awards finals: People’s Choice winner;https://medius.studios.ms/video/asset/HIGHMP4/IG19-THR1008;;https://myignite.techcommunity.microsoft.com/sessions/81646;;
3 real life cloud migrations with tips and gotchas from Corey Sanders;;Azure Migration, Azure;https://myignite.techcommunity.microsoft.com/sessions/84604;Session;
3D isn’t just for the Movies: How to tell a compelling story;https://medius.studios.ms/video/asset/HIGHMP4/IG19-THR2350;Microsoft 365 Applications, Microsoft 365, Microsoft 365 Files and Content;https://myignite.techcommunity.microsoft.com/sessions/81657;Session;
45 life hacks of the Windows OS in 45 minutes - 2019 edition;https://medius.studios.ms/video/asset/HIGHMP4/IG19-BRK3147;Microsoft 365 Operating System , Microsoft 365;https://myignite.techcommunity.microsoft.com/sessions/78726;;https://medius.studios.ms/video/asset/PPT/IG19-BRK3147
99+% of breaches didn’t occur because technology failed us. It’s time to fix the people problem!;https://medius.studios.ms/video/asset/HIGHMP4/IG19-THR2104;Microsoft 365 Security Management, Microsoft 365;https://myignite.techcommunity.microsoft.com/sessions/81313;Session;https://medius.studios.ms/video/asset/PPT/IG19-THR2104
99+% of breaches didn’t occur because technology failed us. It’s time to fix the people problem!;;Microsoft 365 Security Management, Microsoft 365;https://myignite.techcommunity.microsoft.com/sessions/81310;Session;https://medius.studios.ms/video/asset/PPT/IG19-BRK2125
A 360 degree view of Veeam solutions in a multi-cloud world;https://medius.studios.ms/video/asset/HIGHMP4/IG19-BRK2192;Azure Microsoft Azure Stack, Azure, Azure Management and Governance, Azure Storage;https://myignite.techcommunity.microsoft.com/sessions/83878;Partner Led Session;https://medius.studios.ms/video/asset/PPT/IG19-BRK2192
A Cloud Native Approach to Securing Applications built with IaaS and PaaS;https://medius.studios.ms/video/asset/HIGHMP4/IG19-BRK2386;Azure Migration, Azure, Azure Security, Azure Containers, Azure Databases, Azure Analytics, Azure Networking, Azure Developer Tools;https://myignite.techcommunity.microsoft.com/sessions/84472;Partner Led Session;https://medius.studios.ms/video/asset/PPT/IG19-BRK2386
A customer panel: Navigating the deployment of Microsoft hyperconverged infrastructure (HCI) to conquer IT;https://medius.studios.ms/video/asset/HIGHMP4/IG19-BRK3235;Azure Analytics, Azure, Azure Integration, Azure Blockchain, Azure Containers, Azure Internet of Things, Azure DevOps , Azure Compute, Azure Management and Governance, Azure Developer Tools, Azure AI + Machine Learning, Azure Databases, Azure Media, Azure Identity, Azure Microsoft Azure Stack, Azure Storage, Azure Security, Azure Mobile, Azure Web, Azure Migration, Azure Networking, Azure Mixed Reality;https://myignite.techcommunity.microsoft.com/sessions/84129;Partner Led Session;https://medius.studios.ms/video/asset/PPT/IG19-BRK3235
A day in the life of a Microsoft Teams admin;;Microsoft 365 Applications, Microsoft 365, Microsoft 365 Files and Content, Microsoft 365 Meetings and Voice;https://myignite.techcommunity.microsoft.com/sessions/84145;Hands-on Labs;
A day in the life of a Microsoft Teams admin (Repeat);;Microsoft 365 Applications, Microsoft 365, Microsoft 365 Files and Content, Microsoft 365 Meetings and Voice;https://myignite.techcommunity.microsoft.com/sessions/84149;Hands-on Lab;
